DateTime,Precipitation (mm.),RH (%),Wind (km h-1),Light (W m-2),Photon (umol m-2 s-1),Temperature (C)
2021-05-01T00:00:00Z,0,66.6,0,2.499,11.420,27.3
2021-05-01T00:05:00Z,0,66.7,0,2.499,11.420,27.3
2021-05-01T00:10:00Z,0,66.7,0,2.499,11.420,27.3
2021-05-01T00:15:00Z,0,66.7,0,2.499,11.420,27.3
2021-05-01T00:20:00Z,0,66.7,0,2.499,11.420,27.2
2021-05-01T00:25:00Z,0,66.8,0,2.499,11.420,27.2
2021-05-01T00:30:00Z,0,66.8,0,2.499,11.420,27.2
2021-05-01T00:35:00Z,0,66.8,0,2.499,11.420,27.3
2021-05-01T00:40:00Z,0,66.9,0,2.499,11.420,27.2
2021-05-01T00:45:00Z,0,66.9,0,2.499,11.420,27.3
2021-05-01T00:50:00Z,0,67,0,2.499,11.420,27.3
2021-05-01T00:55:00Z,0,67,0,2.499,11.420,27.3
2021-05-01T01:00:00Z,0,67.1,0,2.499,11.420,27.2
2021-05-01T01:05:00Z,0,67.1,0,2.499,11.420,27.3
2021-05-01T01:10:00Z,0,67.1,0,2.499,11.420,27.3
2021-05-01T01:15:00Z,0,67.2,0,2.499,11.420,27.2
2021-05-01T01:20:00Z,0,67.2,0,2.499,11.420,27.3
2021-05-01T01:25:00Z,0,67.2,0,2.499,11.420,27.3
2021-05-01T01:30:00Z,0,67.2,0,2.499,11.420,27.3
2021-05-01T01:35:00Z,0,67.3,0,2.499,11.420,27.3
2021-05-01T01:40:00Z,0,67.3,0,2.499,11.420,27.3
2021-05-01T01:45:00Z,0,67.3,0,2.499,11.420,27.3
2021-05-01T01:50:00Z,0,67.4,0,2.499,11.420,27.3
2021-05-01T01:55:00Z,0,67.4,0,2.499,11.420,27.3
2021-05-01T02:00:00Z,0,67.4,0,2.499,11.420,27.2
2021-05-01T02:05:00Z,0,67.5,0,2.499,11.420,27.3
2021-05-01T02:10:00Z,0,67.5,0,2.499,11.420,27.3
2021-05-01T02:15:00Z,0,67.5,0,2.499,11.420,27.2
2021-05-01T02:20:00Z,0,67.6,0,2.499,11.420,27.3
2021-05-01T02:25:00Z,0,67.6,0,2.499,11.420,27.2
2021-05-01T02:30:00Z,0,67.7,0,2.499,11.420,27.2
2021-05-01T02:35:00Z,0,67.7,0,2.499,11.420,27.3
2021-05-01T02:40:00Z,0,67.7,0,2.499,11.420,27.3
2021-05-01T02:45:00Z,0,67.7,0,2.499,11.420,27.3
2021-05-01T02:50:00Z,0,67.8,0,2.499,11.420,27.3
2021-05-01T02:55:00Z,0,67.8,0,2.499,11.420,27.2
2021-05-01T03:00:00Z,0,67.9,0,2.499,11.420,27.2
2021-05-01T03:05:00Z,0,67.9,0,2.499,11.420,27.2
2021-05-01T03:10:00Z,0,68,0,2.499,11.420,27.3
2021-05-01T03:15:00Z,0,68,0,2.499,11.420,27.3
2021-05-01T03:20:00Z,0,68.1,0,2.499,11.420,27.3
2021-05-01T03:25:00Z,0,68.1,0,2.499,11.420,27.3
2021-05-01T03:30:00Z,0,68.2,0,2.499,11.420,27.3
2021-05-01T03:35:00Z,0,68.2,0,2.499,11.420,27.3
2021-05-01T03:40:00Z,0,68.3,0,2.499,11.420,27.3
2021-05-01T03:45:00Z,0,68.3,0,2.499,11.420,27.3
2021-05-01T03:50:00Z,0,68.3,0,2.499,11.420,27.3
2021-05-01T03:55:00Z,0,68.3,0,2.499,11.420,27.3
2021-05-01T04:00:00Z,0,68.3,0,2.499,11.420,27.3
2021-05-01T04:05:00Z,0,68.3,0,2.499,11.420,27.3
2021-05-01T04:10:00Z,0,68.4,0,2.499,11.420,27.3
2021-05-01T04:15:00Z,0,68.4,0,2.499,11.420,27.3
2021-05-01T04:20:00Z,0,68.6,0,2.499,11.420,27.3
2021-05-01T04:25:00Z,0,68.7,0,2.499,11.420,27.3
2021-05-01T04:30:00Z,0,68.7,0,2.499,11.420,27.3
2021-05-01T04:35:00Z,0,68.7,0,2.499,11.420,27.3
2021-05-01T04:40:00Z,0,68.7,0,2.499,11.420,27.3
2021-05-01T04:45:00Z,0,68.8,0,2.499,11.420,27.3
2021-05-01T04:50:00Z,0,68.8,0,2.499,11.420,27.3
2021-05-01T04:55:00Z,0,68.8,0,2.499,11.420,27.3
2021-05-01T05:00:00Z,0,68.8,0,2.499,11.420,27.3
2021-05-01T05:05:00Z,0,68.9,0,2.499,11.420,27.3
2021-05-01T05:10:00Z,0,68.9,0,2.499,11.420,27.3
2021-05-01T05:15:00Z,0,69,0,2.499,11.420,27.3
2021-05-01T05:20:00Z,0,69.1,0,2.499,11.420,27.3
2021-05-01T05:25:00Z,0,69.1,0,2.499,11.420,27.3
2021-05-01T05:30:00Z,0,69.1,0,2.499,11.420,27.3
